Giai đoạn,Sprint/Tuần,TaskID,Task,Ưu tiên,Ước lượng,Dependency,Deliverable,DoD (check),Status,Ghi chú
GĐ1: Setup baseline & sanity check,07/09-10/09,T1,Tải checkpoint Meta-SecAlign-8B (+70B nếu cần đối chiếu),Cao,0.5 ngày,None,Checkpoint đã tải,,In progress,"Đã tải+chạy được qua notebook go/no-go (transformers/peft/bitsandbytes, không phải vLLM chính thức) — xem Decision #11. Còn thiếu: tải qua pipeline chính thức meta_bridge.py"
GĐ1: Setup baseline & sanity check,07/09-10/09,T2,Setup môi trường eval pipeline (AlpacaFarm/SEP),Cao,1 ngày,T1,Pipeline eval chạy được,,In progress,"notebooks/phase0_go_no_go_test.ipynb chạy được trên SEP+Alpaca (N nhỏ, transformers/peft thuần) — chưa phải pipeline chính thức qua meta_bridge.py/vLLM"
GĐ1: Setup baseline & sanity check,07/09-10/09,T3,"Sanity check trên vài chục mẫu, đối chiếu số liệu với paper gốc",Cao,1 ngày,T2,Báo cáo đối chiếu,,In progress,"Sanity ASR meta_secalign_8b=5% trên SEP N=40 (results/phase0_go_no_go/metrics.json) — hợp lý so với mức Meta công bố, nhưng chưa đối chiếu số chính thức paper gốc qua pipeline chuẩn. Xem Decision #11"
GĐ2: Kiểm định cross-lingual zero-shot (RQ1),14/09-20/09,T4,"Chạy Meta-SecAlign-8B (chưa train thêm) trên Vi-InjectEval, đo VN_ASR",Cao,2 ngày,T3,vn_asr_zero_shot.json,,In progress,"Đã chạy xong pilot_v0.1 (N=50) + 3 bộ mở rộng + seallm_7b_v2_5 control — xem results/phase1_multi_benchmark_pilot/ và record.md Decision #15. VN_ASR: llama=54%, meta_secalign=10%, seallm(control, no defense)=46%. Còn thiếu để Done: N lớn hơn + EN reference đo bằng cùng pool template v0.1 (chưa dùng SEP làm proxy). Đã phát hiện seallm_7b_v2_5 không phải control sạch (instruction-following yếu, xem record.md Decision #15 điểm 3) -- khuyến nghị chạy thêm seallm_v3_7b_chat (registry.py đã nâng cấp, xem Decision #16) trước khi chốt T5/T6."
GĐ2: Kiểm định cross-lingual zero-shot (RQ1),14/09-20/09,T5,So sánh VN_ASR vs EN_ASR (từ paper gốc),Cao,1 ngày,T4,Bảng so sánh RQ1,,In progress,"Đã có bảng đáng tin (record.md Decision #18): meta_secalign_8b VN_ASR=10% vs EN_ASR(matched-pool)=2%, gap +8pp -- hội tụ với phép đo cũ dùng SEP (+5pp). llama base -30pp (matched) vs -33.5pp (SEP), seallm_v3 -16pp -- cả 2 model không-defense đều thấp hơn ở VN dù đã cô lập biến ngôn ngữ, gợi ý 1 phần do phong cách injection dịch tay kém hiệu lực hơn khi chuyển ngữ, không thuần do năng lực tiếng Việt. Đủ tín hiệu để làm T6, còn thiếu: test thống kê chính thức (binomial/Fisher) nếu cần cho bản thảo cuối."
GĐ2: Kiểm định cross-lingual zero-shot (RQ1),14/09-20/09,T6,Quyết định go/no-go cho GĐ3 (Phase 1.5),Cao,0.5 ngày,T5,Quyết định ghi lại,,Done,"Người dùng đã xác nhận GO bằng lời (2026-09-21, ""chốt go"") -- xem record.md Decision #18/#19. Theo CLAUDE.md mục 2, agent chỉ đẩy tới In progress; bạn cần tự sửa Status=Done trong file này (hoặc hook) để ghi nhận chính thức."
GĐ3: Bổ sung dữ liệu tiếng Việt (có điều kiện),21/09-27/09,T7,[Nếu cần] Thu thập corpus instruction tiếng Việt bản địa,Trung bình,2 ngày,T6,Corpus thô,,In progress,"Corpus chốt: MBZUAI/Bactrian-X (vi) -- license CC-BY-NC-4.0 (ổn cho thesis phi thương mại, xác minh qua HF API), chất lượng spot-check ~10 mẫu tự nhiên/đúng ngữ pháp. Bỏ fallback vietgpt/alpaca_vi (không có license, 5 lượt tải). Xem record.md Decision #19. Việc còn lại chỉ là chạy T8, không có việc riêng nào khác cho T7."
GĐ3: Bổ sung dữ liệu tiếng Việt (có điều kiện),21/09-27/09,T8,"Xây bộ preference tiếng Việt (self-generated/task-completion, không dùng ViHOS/ViHSD)",Trung bình,3 ngày,T7,vn_preference_data.jsonl,,In progress,"vi_preference_gen.py đã thêm --n_samples (mặc định 2000, script cũ xử lý toàn bộ 67K -- quá nặng cho 3 ngày). Cần vLLM + GPU thật (pod thuê, Decision #13) -- không chạy được trong môi trường agent này. Khuyến nghị: chạy thử n_samples nhỏ (vd. 200) trước để đo throughput thật trên pod, rồi mới quyết định N cuối cùng. | Xem record.md Decision #21: N cuối cùng (EN:VN) chưa chốt -- đo throughput thật trước; pod ckey.vn giới hạn 24h/lượt, code đã hỗ trợ resume (checkpoint_every / --resume_from_checkpoint). | (2026-09-22) Đã đo throughput THẬT trên pod (3090): 2.351 samples/s (--n_samples 200, sau khi sửa 3 lỗi thật -- input=None, oversample factor, max_model_len OOM -- xem record.md Decision #23). N cuối vẫn CHƯA CHỐT (Decision #21) -- chờ đo lại giây/step trên GPU mới (5090 32GB dự kiến, pod 3090 đã xoá, xem Decision #26) trước khi chạy N thật."
GĐ3: Bổ sung dữ liệu tiếng Việt (có điều kiện),28/09-04/10,T9,Train Phase 1.5 trên dữ liệu tiếng Việt bổ sung,Trung bình,2 ngày,T8,checkpoint_phase1.5,,Not started,"Xem record.md Decision #20: en_preference_gen.py mặc định KHÔNG cap (full ~52K Alpaca nếu dùng), vi_preference_gen.py mặc định n_samples=2000 -- nếu chạy joint EN+VN theo default sẽ ra tỉ lệ ~26:1, PHẢI quyết định tường minh tỉ lệ EN:VN trước khi chạy, không để mặc định tự quyết. | Xem record.md Decision #21: N cuối cùng (EN:VN) chưa chốt -- đo throughput thật trước; pod ckey.vn giới hạn 24h/lượt, code đã hỗ trợ resume (checkpoint_every / --resume_from_checkpoint). | (2026-09-22) train_dpo.py đã verify chạy thành công thật (N=200 smoke test, xem record.md Decision #25) sau 6 lần vá lỗi trên pod thật. Dùng --max_length 1536 (sai lệch so 2048 gốc) -- KHÔNG dùng lại cho N thật. Quyết định thuê GPU mới (>=32GB, Ampere+) để chạy N thật đúng max_length=2048, xem Decision #26. Pod 3090 cũ đã xoá."
GĐ3: Bổ sung dữ liệu tiếng Việt (có điều kiện),28/09-04/10,T10,"Đánh giá lại VN_ASR sau train, so với GĐ2",Trung bình,1 ngày,T9,vn_asr_phase1.5.json,,Not started,
